"abn","charity_legal_name","charity_size","ais_year","endorsement_fy","event_year","is_startup","donations_and_bequests","total_gross_income","donation_share"
"66816964232","Blind Bats Inc.","Small",2019,2022,-3,FALSE,5000,18561,0.269382037605732
"67113817637","Bupa Foundation (Australia) Limited","Large",2019,2022,-3,FALSE,1500000,1583216,0.947438631241726
"67614173278","Biocurate Pty Ltd","Large",2019,2022,-3,FALSE,0,14707308,0
"67616832967","Fitra Community School","Medium",2019,2020,-1,FALSE,61180,123220,0.496510306768382
"67628158323","Wilkins Family Foundation Ltd","Small",2019,2021,-2,FALSE,6250,6250,1
"67638503918","Statewide Wildlife Rescue Emergency Service Incorporated","Small",2019,2021,-2,FALSE,14177,18070,0.784560044272274
"67786892560","Carey Baptist College Ltd","Large",2019,2020,-1,FALSE,29752,31173838,0.000954390024096488
"67845485864","Central Grampians Local Learning And Employment Network Incorporated","Medium",2019,2023,-4,FALSE,0,634556,0
"68320267277","Project Didi Australia","Small",2019,2023,-4,FALSE,23718,25804,0.919159820182917
"68406449242","Ebenezer Mission Limited","Medium",2019,2020,-1,FALSE,2600,693296,0.00375020193395029
"68581296689","Royal Humane Society Of New South Wales","Small",2019,2021,-2,FALSE,100,14145,0.00706963591375044
"68629894686","DIOCESE OF BALLARAT CATHOLIC EDUCATION LIMITED","Large",2019,2023,-4,FALSE,0,8556573,0
"68779819072","Ulladulla Men's Shed Incorporated","Small",2019,2023,-4,FALSE,4200,23798,0.176485418942768
"69154531870","Mercy Education Limited","Large",2019,2023,-4,FALSE,455000,256237000,0.00177569984038215
"69322510070","Falls Creek Historical Society Inc","Small",2019,2020,-1,FALSE,5245,11377,0.461017843016612
"69355650377","Maitland Family Support  Inc","Small",2019,2020,-1,FALSE,0,330959,0
"69609700414","Titus Foundation Limited","Small",2019,2021,-2,FALSE,0,108893,0
"69985287203","Youth With A Mission Toowoomba Inc.","Medium",2019,2020,-1,FALSE,6606,632231,0.0104487125749924
"70141687774","RURAL HEALTH MANAGEMENT SERVICES PTY LTD","Large",2019,2021,-2,FALSE,0,3322551,0
